LEGEND:,Unnamed: 0,Unnamed: 1,#,Name (known as),Charity?,Charity #,Charity,Org.,Affiliate of,City,Prov.,Other Names,Website and Social Media,Sex Ed Programs,Other Names Website and Social Media,Name (known as) Charity?
,,,68.0,Cen tral Alberta,Y,119112357,Poverty,CPC,PCC / Evangelical,Red Deer,AB,,www.pregnancycare.ca,Reached out to local schools in Aug,,
,,,,Pregnancy Care Centre,,,,,,,,,www.facebook.com/CentralAlbertaPregna,"2017, including Olds Koinonia, Olds",,
,,,,,,,,,,,,,ncyCareCentre/,"Junior Senior High School, Olds Junior",,
,,,,,,,,,,,,,www.instagram.com/pregnancycare.ca/,"High School, and Olds College, for “Steps",,
,,,,,,,,,,,,,,to Sexual Health and Post Abortive,,
,,,,,,,,,,,,,,Recovery Education” (P.A.R.E.) programs,,
,,,69.0,Cen tral Alberta,Y,119112357,Poverty,CPC,PCC / Evangelical,Rocky Mountain,AB,,www.pregnancycare.ca,Reached out to local schools in Aug,,
,,,,Pregnancy Care Centre,,,,,,House,,,www.facebook.com/RMHPregnancyCareCe,"2017, including Olds Koinonia, Olds",,
,,,,,,,,,,,,,ntre/,"Junior Senior High School, Olds Junior",,
,,,,,,,,,,,,,www.instagram.com/pregnancycare.ca/,"High School, and Olds College, for “Steps",,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,to Sexual Health and Post Abortive,,
,,,,,,,,,,,,,,Recovery Education” (P.A.R.E.) programs,,
,,,70.0,Cen tral Alberta,Y,119112357,Poverty,CPC,PCC / Evangelical,Stettler,AB,,www.pregnancycare.ca,Reached out to local schools in Aug,,
,,,,Pregnancy Care Centre,,,,,,,,,www.facebook.com/stettlerpregnancycare,"2017, including Olds Koinonia, Olds",,
,,,,,,,,,,,,,centre/,"Junior Senior High School, Olds Junior",,
,,,,,,,,,,,,,www.instagram.com/pregnancycare.ca/,"High School, and Olds College, for “Steps",,
,,,,,,,,,,,,,,to Sexual Health and Post Abortive,,
,,,,,,,,,,,,,,Recovery Education” (P.A.R.E.) programs,,
,,,71.0,Cen tre Conseils,Y,119098218,Poverty,CPC,,Montréal,QC,,www.ccgrossesse.org/,,,
,,,,Grossesse / Pregnancy,,,,,,,,,www.facebook.com/CCG.Mtl.PCC?fref=ts,,,
,,,,Counselling Centre/,,,,,,,,,,,,
,,,72.0,Cen tre d'aide en crise de,Y,119045268,Religion,CPC,PCC / Alliance,Chateauguay,QC,Montréal Youth for,www.centreoptions.org/,Youth workshops on anti-trafficking,,
,,,,grossesse / Options,,(Montreal,,,Ressources,,,Christ / Jeunesse,options is a specific program of yfc,"workshops, touch on consent, coercion,",,
,,,,Pregnancy Crisis Centre /,,Youth for,,,Grossesse / Care,,,Pour Christ –,https://yfc.ca/montreal/,"online safety, grooming, sex work. Sex",,
,,,,,,Christ),,,Net / Evangelical,,,Montréal,,ed workshops in schools upon invite.,,
,,,73.0,Cen tre D'aide Oasis Care,N,,,CPC,,Verdun,QC,,,,,
,,,,Centre,,,,,,,,,,,,
,,,74.0,Cen tre for Life,Y,119119881,Poverty,CPC,Heartbeat Int’l,St. John’s,NL,Run by Right to Life,www.centreforlife.ca/,,,
,,,,,,,,,,,,Assoc.,,,,
,,,,,,,,,,,,(Newfoundland),,,,
,,,75.0,Cen tre Option Grossesse,Y,827929571,Community,CPC,PCC / Alliance,Sherbrooke,QC,Options Pregnancy,www.optionslennox.com/,,,
,,,,Lennoxville,,,"Org., Health",,Ressources,,,Centre Lennoxville,,,,
,,,,,,,,,Grossesse / Care,,,,,,,
,,,,,,,,,Net / Evangelical,,,,,,,
,,,76.0,Che rish Project (The),Y,133488957,Poverty,CPC,Chilliwack Pro-Life,Chilliwack,BC,Cherish Women’s,www.cherishproject.ca/,Education:  “We offer speakers for,,
,,,,,,,,,Society,,,Resource Society,www.chwkpregnancycare.ca/,"churches, schools and community",,
,,,,,,,,,,,,Chilliwack Crisis,www.chilliwackprolife.com/crisis-,groups.”,,
,,,,,,,,,,,,Pregnancy Centre,pregnancy-centre,www.chilliwackprolife.com/education,,
,,,,,,,,,,,,,www.facebook.com/chilliwackpregnancyca,,,
,,,,,,,,,,,,Run by Chilliwack,re/,,,
,,,,,,,,,,,,Pro-Life Society,https://twitter.com/CHWKcpc,,,
,,,77.0,Chi lliwack Pro-Life,Y,133488957,Poverty,Advocacy,,Chilliwack,BC,Runs Cherish,https://chilliwackprolife.com/,Education:  “We offer speakers for,,
,,,,Society,,,,,,,,Women’s Resource,www.facebook.com/chilliwackprolife,"churches, schools and community",,
,,,,,,,,,,,,Society,https://twitter.com/CHWKProLife,groups.”,,
,,,,,,,,,,,,,www.instagram.com/chilliwackprolife/,www.chilliwackprolife.com/education,,
,,,78.0,Cho ice for Life WIlliams,Y,889926978,Poverty,Advocacy,LifeCanada,Williams Lake,BC,Choice for Life,http://wordfaith.us/choice/index.html,,,
,,,,Lake,,,,,Signal Hill,,,Society of Williams,,,,
,,,,,,,,,,,,Lake,,,,
,,,,,,,,,,,,Part of Signal Hill:,,,,
,,,,,,,,,,,,https://thesignalhill,,,,
,,,,,,,,,,,,.com/,,,,
,,,79.0,Cho ice42.com,Y,896740768,Poverty,Advocacy,,Ajax,ON,Run by Pregnancy,www.choice42.com/,“Public education” videos and print,,
,,,,,,,,,,,,Help Centre of,,materials (not specific to schools/youth),,
,,,,,,,,,,,,,,https://www.choice42.com/what-we-do,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,Durham (Laura,,,,
,,,,,,,,,,,,Klassen),,,,
,,,80.0,Cho ose Life Niagara,Y,119170116.0,Poverty,Advocacy,LifeCanada,St. Catharines,ON,St. Catharines Right,http://stcatharines-,Presentations (no mention of schools),,
,,,,,,,,,,,,to Life Association,righttolife.squarespace.com/,www.chooselifeniagara.com/history,,
,,,,,,,,,,,,,www.chooselifeniagara.com/,,,
,,,81.0,Chr istian Advocacy,Y,136223971.0,Poverty,Advocacy,PCC / Heartbeat,Burnaby,BC,Runs Crisis,http://christianadvocacy.ca/,"Through pregnancy centres, offers",,
,,,,Society of Greater,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/pages/category/Nonp,S.H.A.R.E. program (Sexual health And,,
,,,,Vancouver,,,,,Evangelical,,,of Burnaby & New,rofit-Organization/The-Christian-,Relationship Education).,,
,,,,,,,,,,,,Westminster; and,Advocacy-Society-113627047153101/,https://optionscentre.ca/share,,
,,,,,,,,,,,,,www.youtube.com/channel/UCJW-,,,
,,,,,,,,,,,,Vancouver &,dy6JlIsdhBoB-OFi4nQ,Says: “Our presentation contributes to,,
,,,,,,,,,,,,Richmond; and,,BC’s curriculum requirements for PHE,,
,,,,,,,,,,,,Post-Abortion,,Grade 6-12.” And: “Thousands of high,,
,,,,,,,,,,,,Community,,school students have now participated.”,,
,,,,,,,,,,,,Services,,Have been: “in schools and for youth,,
,,,,,,,,,,,,,,"groups in Vancouver, North Vancouver,",,
,,,,,,,,,,,,,,"West Vancouver, Richmond, Burnaby,",,
,,,,,,,,,,,,,,"New Westminster, Delta, Surrey and",,
,,,,,,,,,,,,,,White Rock.”,,
,,,,,,,,,,,,,,A past newsletter reported,,
,,,,,,,,,,,,,,presentations to 36 high schools and,,
,,,,,,,,,,,,,,youth groups.,,
,,,82.0,Chr istine's Place,Y,793280322.0,Community,CPC,PCC / Heartbeat,Huntsville,ON,Christine's Place,www.christinesplace.org,"Used to offer ""Light Up Your World""",,
,,,,,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy Support,www.facebook.com/christinesplace1/,"program to grades 7 and , but info no",,
,,,,,,,,,Evangelical,,,Centre,www.instagram.com/christinesplacehuntsv,longer there as of Feb 26-24 and nothing,,
,,,,,,,,,,,,,ille/?hl=en,else on their website about education.,,
,,,,,,,,,,,,,,Does not seem to be anti-choice (but,,
,,,,,,,,,,,,,,"PCC member, so...)",,
,,,83.0,Cla rity Pregnancy,Y,863278768.0,Community,CPC,Heartbeat Int’l,St. Catherines,ON,Formerly: Elisha,www.claritypregnancy.ca,Use to mention school presentations on,,
,,,,Options,,,"Org., Health",,,,,House Pregnancy &,www.facebook.com/claritypregnancyoptio,"website, but no longer there.",,
,,,,,,,,,,,,Family Support,ns,,,
,,,,,,,,,,,,Centre (satellite of,www.instagram.com/claritypregnancy/,,,
,,,,,,,,,,,,Welland centre),,,,
,,,,,,,,,,,,Legal name:,,,,
,,,,,,,,,,,,Niagara Life,,,,
,,,,,,,,,,,,Welland Centre,,,,
,,,84.0,Cla rity Pregnancy,Y,863278768.0,Community,CPC,Heartbeat Int’l,Welland,ON,Formerly: Elisha,www.claritypregnancy.ca,Use to mention school presentations on,,
,,,,Options,,,"Org., Health",,,,,House Pregnancy &,www.facebook.com/claritypregnancyoptio,"website, but no longer there.",,
,,,,,,,,,,,,Family Support,ns,,,
,,,,,,,,,,,,Centre,www.instagram.com/claritypregnancy/,,,
,,,,,,,,,,,,Legal name:,,,,
,,,,,,,,,,,,Niagara Life,,,,
,,,,,,,,,,,,Welland Centre,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,85.0,Coc hrane Pregnancy,Y,865083885,Community,CPC,PCC / Heartbeat,Cochrane,AB,,www.cochranepreg.com,Education is no longer mentioned on,,
,,,,Care Centre Assoc,,,"Org., Health",,Int’l / Care Net /,,,,www.facebook.com/cochranepregnancyca,their website but they used to,,
,,,,,,,,,Evangelical,,,,recentre/,offer“Sexual Integrity Community,,
,,,,,,,,,,,,,https://twitter.com/CochranePCC?lang=en,Education”,,
,,,,,,,,,,,,,www.instagram.com/cochranepreg/,,,
,,,86.0,Com passion Place,Y,892217043,Poverty,CPC,Alliance for Life,Midland,ON,Huronia Pregnancy,www.huroniapregnancyresourcecentre.co,,,
,,,,Pregnancy and Family,,,,,Ont.,,,Resource Center /,m,,,
,,,,Care Centre,,,,,PCC / Heartbeat,,,Huronia Crisis,www.facebook.com/pregnancyresourcece,,,
,,,,,,,,,Int’l/Care Net /,,,Pregnancy Centre /,ntre/,,,
,,,,,,,,,,,,,www.instagram.com/centre.pregnancy.hur,,,
,,,,,,,,,Evangelical,,,Huronia Right to,onia/,,,
,,,,,,,,,,,,Life,,,,
,,,87.0,Cris is Pregnancy Centre,Y,136223971,Poverty,CPC,PCC / Heartbeat,Burnaby,BC,Run by Christian,www.optionscentre.ca,Offers S.H.A.R.E. program (Sexual health,,
,,,,of Burnaby & New,,,,,Int’l / Evangelical,,,Advocacy Society of,,And Relationship Education).,,
,,,,Westminster,,,,,,,,Greater Vancouver,,https://optionscentre.ca/share,,
,,,,,,,,,,,,,,Says: “Our presentation contributes to,,
,,,,,,,,,,,,,,BC’s curriculum requirements for PHE,,
,,,,,,,,,,,,,,Grade 6-12.” And: “Thousands of high,,
,,,,,,,,,,,,,,school students have now participated.”,,
,,,,,,,,,,,,,,Have been “in schools and for youth,,
,,,,,,,,,,,,,,"groups in Vancouver, North Vancouver,",,
,,,,,,,,,,,,,,"West Vancouver, Richmond, Burnaby,",,
,,,,,,,,,,,,,,"New Westminster, Delta, Surrey and",,
,,,,,,,,,,,,,,White Rock.”,,
,,,88.0,Cris is Pregnancy Centre,Y,106993348,Poverty,CPC,PCC / Heartbeat,Vancouver,BC,Crisis Pregnancy,www.optionscentre.ca,Offers S.H.A.R.E. program (Sexual health,,
,,,,of Vancouver &,,/13622397,,,Int’l / Care Net /,,,Centre of,,And Relationship Education).,,
,,,,Richmond,,1,,,Evangelical,,,Vancouver Society,,https://optionscentre.ca/share,,
,,,,,,,,,,,,,,Says: “Our presentation contributes to,,
,,,,,,,,,,,,Run by Christian,,BC’s curriculum requirements for PHE,,
,,,,,,,,,,,,Advocacy Society of,,Grade 6-12.” And: “Thousands of high,,
,,,,,,,,,,,,Greater Vancouver,,school students have now participated.”,,
,,,,,,,,,,,,,,Have been “in schools and for youth,,
,,,,,,,,,,,,,,"groups in Vancouver, North Vancouver,",,
,,,,,,,,,,,,,,"West Vancouver, Richmond, Burnaby,",,
,,,,,,,,,,,,,,"New Westminster, Delta, Surrey and",,
,,,,,,,,,,,,,,White Rock.”,,
,,,89.0,Cro ssroads Clinic,Y,119156164,Poverty,CPC,PCC / Heartbeat,Brooks,AB,,www.crossroadsclinic.ca,Community education in schools,,
,,,,Association,,,,,Int’l / Evangelical,,,,http://facebook.com/crossroadsclinicbrook,https://crossroadsclinic.ca/our-services/,,
,,,,,,,,,,,,,s,,,
,,,90.0,Cro ssroads Crisis,Y,885010645,Community,CPC,PCC / Heartbeat,Nanaimo,BC,Crisis Pregnancy,www.cpcnanaimo.com/,,,
,,,,Pregnancy Centre of,,,"Org., Health",,Int’l / Care Net /,,,Centre of Nanaimo,www.facebook.com/CrossroadsCPC/,,,
,,,,,,,,,,,,,www.instagram.com/crossroadspregnancy,,,
,,,,Nanaimo,,,,,Evangelical,,,Society /,/,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,Crossroads Crisis,,,,
,,,,,,,,,,,,Pregnancy Centre /,,,,
,,,,,,,,,,,,Crossroads Crisis,,,,
,,,,,,,,,,,,Pregnancy Centre,,,,
,,,,,,,,,,,,of Nanaimo,,,,
,,,91.0,Daw n Centre,Y,874460405.0,Religion,CPC,PCC / Heartbeat,Cambridge,ON,Cambridge,www.dawncentre.ca/,"Community Education, offers programs",,
,,,,,,,,,Int’/ Care Net /,,,Pregnancy Resource,www.facebook.com/DawnCentreHealt,for Grades 7-12:,,
,,,,,,,,,Evangelical,,,Centre,handHope/,www.dawncentre.ca/communityeducati,,
,,,,,,,,,,,,,www.instagram.com/dawncentre/?hl=en,on. Doesn’t specify public/religious,,
,,,92.0,Day spring Pregnancy &,Y,727673808.0,Community,CPC,,Woodstock,ON,"(New, July 2023)",https://dayspringfamily.ca/,,,
,,,,Family Support Centre,,,"Org., Health",,,,,Formerly:,www.facebook.com/DayspringWoodstock,,,
,,,,,,,,,,,,Beginnings Family,www.instagram.com/reel/C2lP1I1JOZI/,,,
,,,,,,,,,,,,Services,,,,
,,,93.0,Dee p River Right to Life,N,,,Advocacy,Alliance for Life,Deep River,ON,,https://allianceforlifeontario.ca/deep-,,,
,,,,,,,,,Ont.,,,,river-right-to-life/,,,
,,,94.0,deV eber Institute for,Y,118964915.0,Education,Advocacy,,Toronto,ON,,www.deveber.org/,,,
,,,,Bioethics and Social,,,,,,,,,,,,
,,,,Research (The),,,,,,,,,,,,
,,,95.0,Dra yton Valley Respect,N,,,Advocacy,LifeCanada,Drayton Valley,AB,,www.facebook.com/dvrfl,https://lifecanada.org/our-,,
,,,,for Life,,,,,,,,,(FB not active since 2017),work/lifecanada-kids/,,
,,,,,,,,,,,,,https://lifecanada.org/drayton/,,,
,,,96.0,Dro it a la vie Moncton,N,,,Advocacy,,Moncton,NB,,www.dvmrl.com/,,,
,,,,Right to Life,,,,,,,,,,,,
,,,97.0,Dun nville and Area Right,N,,,Advocacy,,Dunnville,ON,,www.facebook.com/Dunnville-Area-Right-,,,
,,,,to Life Association,,,,,,,,,to-Life-155376037846391/,,,
,,,98.0,Edm onton Against,N,,,Advocacy,CCBR (trained by),Edmonton,AB,,CCBR: www.endthekilling.ca,“Classroom - A series of lessons,,
,,,,Abortion,,,,,,,,,www.facebook.com/EdmontonAgainstAbo,equipping you to effectively,,
,,,,,,,,,,,,,rtion/,communicate the pro-life message using,,
,,,,,,,,,,,,,,science and human rights.”,,
,,,,,,,,,,,,,,www.endthekilling.ca/classroom/,,
,,,99.0,Edm onton Pro-life,Y,118894047.0,Poverty,Advocacy,,Edmonton,AB,,www.edmontonprolife.org/,"Offer scholarships, info resources and in-",,
,,,,Society,,,,,,,,,,school talks,,
,,,,,,,,,,,,,,www.edmontonprolife.org/education-,,
,,,,,,,,,,,,,,resources,,
,,,100.0,Enc einte et inquiète ?,N,,,CPC,Campagne,(Online),QC,,www.enceinteinquiete.org/,,,
,,,,,,,,,Québec-Vie /,,,,www.youtube.com/channel/UCy_MFKUb6,,,
,,,,,,,,,Quebec Life,,,,UQG1Omf6NCTuOA?view_as=subscrib,,,
,,,,,,,,,Coalition,,,,er,,,
,,,101.0,Env isage Pregnancy,Y,845016526.0,Community,CPC,PCC / Heartbeat,Barrie,ON,Formerly Barrie,https://envisagepregnancy.ca,Nothing on website but previously had,,
,,,,Services,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy Resource,www.facebook.com/EnvisagePregnancy/,been seeking connections with schools:,,
,,,,,,,,,Evangelical,,,Centre,,https://envisagepregnancy.ca/wp-,,
,,,,,,,,,,,,,,content/uploads/2020/05/Envisage-,,
,,,,,,,,,,,,,,Prayer-Sheet-Week4.pdf,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,102.0,Env isage Pregnancy,Y,845016526.0,Community,CPC,PCC / Heartbeat,Collingwood,ON,Formerly Barrie,https://envisagepregnancy.ca,Nothing on website but previously had,,
,,,,Services,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy Resource,www.facebook.com/EnvisagePregnancy/,been seeking connections with schools:,,
,,,,,,,,,Evangelical,,,Centre,,https://envisagepregnancy.ca/wp-,,
,,,,,,,,,,,,,,content/uploads/2020/05/Envisage-,,
,,,,,,,,,,,,,,Prayer-Sheet-Week4.pdf,,
,,,103.0,Est evan Pro-Life,N,,,Advocacy,LifeCanada,Estevan,SK,Pro-Life Estevan &,www.prolifeestevan.com/,,,
,,,,,,,,,Saskatchewan Pro-,,,Area Inc.,www.facebook.com/groups/17696366234,,,
,,,,,,,,,Life,,,,3091/,,,
,,,104.0,Eva ngelical Fellowship of,Y,107353922.0,Religion,Advocacy,,Richmond Hill,ON,,www.evangelicalfellowship.ca/,,,
,,,,Canada / Alliance,,,,,,,,,,,,
,,,,Évangélique Du Canada,,,,,,,,,,,,
,,,105.0,Fam ily Support Centre of,Y,101205904.0,Poverty,Advocacy,PCC / Heartbeat,Winnipeg,MB,Ran Crisis,www.familysupportcentre.ca/,,,
,,,,Winnipeg Inc.,,,,,Int’l / Evangelical,,,Pregnancy Centre,,,,
,,,,,,,,,,,,"of Winnipeg,",,,,
,,,,,,,,,,,,(Closed as of Mar-,,,,
,,,,,,,,,,,,23),,,,
,,,106.0,Firs t Place Maternal,Y,890251382.0,Poverty,CPC,,Kanata,ON,First Place Options /,www.firstplaceoptions.ca/,You're Worth It / THRIVE Community,,
,,,,Health Options Inc,,,,,,,,Crisis Pregnancy,www.facebook.com/FirstPlaceOptions/,Education Ottawa.,,
,,,,,,,,,,,,Centre of Ottawa,,www.firstplaceoptions.ca/thrive/,,
,,,,,,,,,,,,,,“Grade 7 through 11 classrooms,,
,,,,,,,,,,,,,,regarding sex and relationships”a,,
,,,,,,,,,,,,,,No-cost. (Doesn’t specify if targeting,,
,,,,,,,,,,,,,,public/religious schools),,
,,,,,,,,,,,,,,Curriculum overview:,,
,,,,,,,,,,,,,,https://www.firstplaceoptions.ca/wp-,,
,,,,,,,,,,,,,,content/uploads/2021/09/2021-THRIVE-,,
,,,,,,,,,,,,,,curriculum-summary.pdf,,
,,,107.0,Firs t Step Options,Y,896363116.0,Community,CPC,PCC / Heartbeat,Pembroke,ON,First Step Options,www.firststepoptions.com,,,
,,,,Pregnancy Care Centre,,,"Org., Health",,Int’l / Care Net /,,,Centre,www.facebook.com/FirstStepOptions,,,
,,,,,,,,,Evangelical,,,,www.instagram.com/first_step_options/,,,
,,,108.0,Foc us on the Family,Y,106845969.0,Religion,Advocacy,,Langley,BC,,www.focusonthefamily.ca/,Lots of stuff on education but focus on,,
,,,,(Canada) Association Inc.,,,,,,,,,www.facebook.com/fotfcanada/,parents doing the education,,
,,,,,,,,,,,,,https://twitter.com/fotfcanada/,,,
,,,,,,,,,,,,,www.youtube.com/channel/UCnJ4_k4JY_,,,
,,,,,,,,,,,,,O45NdJHoLxjJA,,,
,,,109.0,Fou ndations for Life,Y,891768392.0,Education,Advocacy,,Grande Prairie,AB,Grande Prairie,www.myfoundations.ca/,www.myfoundations.ca/education,,
,,,,Association,,,,,,,,Voice for Life,www.gpvoiceforlife.ca,K-7 & 8-12,,
,,,,,,,,,,,,Association /,,www.gpvoiceforlife.ca/education.html,,
,,,,,,,,,,,,Grande Prairie,,,,
,,,,,,,,,,,,Foundations for Life,,,,
,,,,,,,,,,,,[new name and,,,,
,,,,,,,,,,,,"website, July 2023]",,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,110.0,Gia nna Centre,Y,133696559,Religion,CPC,Catholic Church,Edmonton,AB,Run by Catholic,www.cssalberta.ca/Gianna-Centre,TeenStar:  A teach the educator program,,
,,,,,,(Catholic,,,,,,Social Services,www.facebook.com/Giannayeg/,"to teach children, adolescents, and",,
,,,,,,Social,,,,,,Formerly Edmonton,Twitter @GiannaCentre (not active),young adults.  http://teenstar.org/,,
,,,,,,Services),,,,,,Pregnancy Crisis,,,,
,,,,,,,,,,,,Centre Association,,,,
,,,111.0,God erich Life Centre,N,,,CPC,Alliance for Life,Goderich,ON,Goderich & District,http://goderichlifecentre.com/,,,
,,,,,,,,,Ont.,,,Pro Life,www.facebook.com/LifeCentreGoderich/,,,
,,,112.0,Gre y Bruce Pregnancy,Y,869701862,Community,CPC,PCC / Heartbeat,Owen Sound,ON,Owen Sound Crisis,www.owensoundcrisispregnancycentre.ca,"Community education, but no mention",,
,,,,Centre,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/pg/ospregcentre,of schools.,,
,,,,,,,,,Evangelical,,,,,,,
,,,113.0,Gri msby Life Centre,Y,806788824,Religion,CPC,,Grimsby,ON,,www.grimsbylife.org/,,,
,,,,Ministries,,,,,,,,,www.facebook.com/grimsbylifecentre/,,,
,,,,,,,,,,,,,https://twitter.com/grimsbylife (inactive,,,
,,,,,,,,,,,,,2011),,,
,,,114.0,Gue lph & Area Right to,Y,891531048,Poverty,Advocacy,Alliance for Life,Guelph,ON,Runs Sanctuary,http://guelphforlife.com/,Classroom presentations: The Injustice,,
,,,,Life Association,,,,,Ont.,,,Outreach CPC,,of Abortion. “...your students will learn,,
,,,,,,,,,,,,,,about abortion as a human rights,,
,,,,,,,,,,,,,,"violation, how to effectively dialogue",,
,,,,,,,,,,,,,,"about abortion, and how to help support",,
,,,,,,,,,,,,,,those who may be suffering from the,,
,,,,,,,,,,,,,,"trauma of abortion.” No-cost, in-person.",,
,,,,,,,,,,,,,,Grade 9 and up.,,
,,,,,,,,,,,,,,Resources for teachers and classroom,,
,,,,,,,,,,,,,,presentations:,,
,,,,,,,,,,,,,,www.guelphforlife.com/for-educators,,
,,,,,,,,,,,,,,"(incl. “pro-life” lesson plans, pregnancy",,
,,,,,,,,,,,,,,"support training, brochures & posters",,
,,,,,,,,,,,,,,"with misinformation, tips on high-school",,
,,,,,,,,,,,,,,"“pro-life” clubs, and videos) (curriculum",,
,,,,,,,,,,,,,,"designed for the Catholic school board,",,
,,,,,,,,,,,,,,“but can be adopted for any school”),,
,,,115.0,Hal dimand Pregnancy,Y,862343332,Community,CPC,,Caledonia,ON,Haldimand,http://haldimandpcfc.org/,Sexual Health & Relationships,,
,,,,Care Centre,,,"Org., Health",,,,,Pregnancy Care &,www.facebook.com/haldimandpcfc/,http://haldimandpcfc.org/programs/#14,,
,,,,,,,,,,,,Family Centre,www.instagram.com/haldimandpcfc/,45742559806-8d368fee-131d,,
,,,,,,,,,,,,,,“sexual and relational health”,,
,,,,,,,,,,,,,,presentations for grades 7-12. Doesn’t,,
,,,,,,,,,,,,,,specify public/religious schools.,,
,,,,,,,,,,,,,,Gamma Girls is for girls aged 10-13,,
,,,,,,,,,,,,,,(camp),,
,,,116.0,Hal dimand Pregnancy,Y,862343332,Community,CPC,,Dunnville,ON,Haldimand,http://haldimandpcfc.org/,Sexual Health & Relationships,,
,,,,Care Centre,,,"Org., Health",,,,,Pregnancy Care &,www.facebook.com/haldimandpcfc/,http://haldimandpcfc.org/programs/#14,,
,,,,,,,,,,,,Family Centre,www.instagram.com/haldimandpcfc/,45742559806-8d368fee-131d “sexual,,
,,,,,,,,,,,,,,and relational health” presentations for,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,grades 7-12. Doesn’t specify,,
,,,,,,,,,,,,,,public/religious schools.,,
,,,,,,,,,,,,,,Gamma Girls is for girls aged 10-13,,
,,,,,,,,,,,,,,(camp),,
,,,117.0,Hal ton Alive,Y,118951318.0,Poverty,Advocacy,,Burlington,ON,Halton Pro-life,www.haltonalive.com,Promotes Life Talk seminars which seem,,
,,,,,,,,,,,,,,to be an all-ages event,,
,,,,,,,,,,,,,,promoting/educating “pro-life” stance;,,
,,,,,,,,,,,,,,photos show teens/youth in attendance,,
,,,,,,,,,,,,,,https://www.haltonalive.ca/ltseminar,,
,,,,,,,,,,,,,,Halton Catholic Teachers Guild lists,,
,,,,,,,,,,,,,,Halton Alive as a resource:,,
,,,,,,,,,,,,,,https://haltoncatholicteachersguild.com,,
,,,,,,,,,,,,,,/resources.html,,
,,,118.0,Ham ilton Against,N,,,Advocacy,CCBR (trained by),Hamilton,ON,,CCBR: www.endthekilling.ca,,,
,,,,Abortion,,,,,,,,,www.facebook.com/hamiltonagainstaborti,,,
,,,,,,,,,,,,,on,,,
,,,119.0,Ham ilton Right to Life,Y,118951862.0,Poverty,Advocacy,Alliance for Life,Hamilton,ON,,http://hamiltonrighttolife.org/,Resources for educators:,,
,,,,,,,,,Ont.,,,,,https://hamiltonrighttolife.org/resource,,
,,,,,,,,,,,,,,s/educational-resources/,,
,,,,,,,,,,,,,,“To book a speaker or request a,,
,,,,,,,,,,,,,,"resource, please call us or email us” (no",,
,,,,,,,,,,,,,,specifics),,
,,,,,,,,,,,,,,“Our mandate is to educate the public,,
,,,,,,,,,,,,,,about life issues. We would welcome the,,
,,,,,,,,,,,,,,opportunity to address your students,,
,,,,,,,,,,,,,,about life issues in Canada.”,,
,,,120.0,Han over Pregnancy,N,,,CPC,Alliance for Life,Hanover,ON,Hanover & District,www.facebook.com/Hanover-Pregnancy-,,,
,,,,Centre,,,,,Ont.,,,Right to Life,Centre-577848416030386/,,,
,,,121.0,Hav en Pregnancy,Y,889717369.0,Poverty,CPC,PCC / Heartbeat,Victoria,BC,Victoria Pregnancy,https://www.havenpsc.ca/,"Education Services: Prenatal, Childbirth,",,
,,,,Support Clinic,,,,,Int’l / Care Net /,,,Centre Society,www.facebook.com/victoriapregnancycent,Parenting and Life Skills classes,,
,,,,,,,,,Evangelical,,,,re,,,
,,,,,,,,,,,,,www.instagram.com/havenpregnancysupp,,,
,,,,,,,,,,,,,ortclinic/,,,
,,,122.0,Hig h River Pro-life,N,,,Advocacy,LifeCanada,High River,AB,A chapter of The,www.facebook.com/HighRiverProLife/,,,
,,,,Association,,,,,,,,Wilberforce Project,,,,
,,,123.0,Hop e for Women,Y,133318832.0,Poverty,CPC,Christian,Abbotsford,BC,Run by Advokate,www.hopeforwomen.ca,Used to teach SHIFT www.shiftbc.ca/,,
,,,,,,,,,,,,Life & Education,www.facebook.com/princegeorgepregnanc,(Sexual health and intimacy for teens),,
,,,,,,,,,,,,Services Society,yservices/,but website no longer available as of Oct,,
,,,,,,,,,,,,,twitter @HopeForWomen,2022,,
,,,,,,,,,,,,,www.instagram.com/hope_for_women_pr,,,
,,,,,,,,,,,,,ince_george/?hl=en,,,
,,,124.0,Hop e for Women,Y,133318832.0,Poverty,CPC,Christian,Langley,BC,Run by Advokate,www.hopeforwomen.ca,Used to teach SHIFT www.shiftbc.ca/,,
